country,winners,lat,lon
c,0,0,0
United States,327,38.9071923,-77.0368707
United Kingdom,101,51.5073509,-0.1277583
Germany,78,52.5200066,13.404954
France,61,48.856614,2.3522219
Sweden,29,59.3293235,18.0685808
Japan,23,35.7090259,139.7319925
Switzerland,20,46.9479739,7.4474468
Russia and Soviet Union,19,55.755826,37.6172999
Netherlands,17,52.3702157,4.8951679
Austria,16,48.2081743,16.3738189
Italy,14,41.9027835,12.4963655
Norway,12,59.9138688,10.7522454
Israel,11,31.768319,35.21371
Canada,11,45.4215296,-75.6971931
Denmark,10,55.6760968,12.5683372
Belgium,9,50.8503463,4.3517211
Australia,8,-35.308129,149.124402
Ireland,8,51.5073509,-0.1277583
South Africa,7,-25.7478676,28.2292712
Hungary,7,47.497912,19.040235
Poland,6,52.2296756,21.0122287
Spain,6,40.4167754,-3.7037902
Egypt,4,30.0444196,31.2357116
India,4,28.6139391,77.2090212
Argentina,4,34.397585,-103.321637
"China, (People's Republic of China)",3,39.9041999,116.4073963
Turkey,2,39.9333635,32.8597419
Ukraine,2,50.4501,30.5234
Finland,2,60.1698557,24.9383791
Pakistan,2,33.6844202,73.0478848
Colombia,2,4.7109886,-74.072092
Greece,2,37.9838096,23.7275388
Guatemala,2,14.6349149,-90.5068824
Mexico,2,19.4326077,-99.133208
Chile,2,-33.4488897,-70.6692655
Czech Republic,2,50.0755381,14.4378005
Liberia,2,6.2907432,-10.7605239
Portugal,2,38.7222524,-9.1393366
Tibet,1,29.6475,91.1175
Bangladesh,1,23.810332,90.4125181
"Congo, Democratic Republic",1,-4.4419311,15.2662931
Costa Rica,1,9.9280694,-84.0907246
Nigeria,1,9.0764785,7.398574
South Korea,1,37.552361,126.991432
East Timor,1,-8.5568557,125.5603143
Ethiopia,1,8.9806034,38.7577605
Saint Lucia,1,14.0101094,-60.9874687
Ghana,1,5.6037168,-0.1869644
Iceland,1,64.1265206,-21.8174392
Iran,1,35.6891975,51.3889736
Iraq,1,33.3128057,44.3614875
Vietnam,1,21.0277644,105.8341598
Palestine,1,31.9521,35.2331
Kenya,1,-1.2920659,36.8219462
Myanmar (Burma),1,19.7633057,96.0785104
Yemen,1,15.3694451,44.1910066
