バス停名,lng,lat,1,2,3,4,5,6,7,8,9,10
米沢駅前(始),37.90948827,140.1278702,6:45,8:07,9:20,10:35,12:10,13:35,15:00,16:20,17:30,19:00
駅前二丁目,37.90921921,140.1243086,6:46,8:08,9:21,10:36,12:11,13:36,15:01,16:21,17:31,19:01
舟山病院前,37.90912756,140.1224228,6:47,8:09,9:22,10:37,12:12,13:37,15:02,16:22,17:32,19:02
相生橋西,37.90808302,140.1174991,6:48,8:10,9:23,10:38,12:13,13:38,15:03,16:23,17:33,19:03
県営相生ｱﾊﾟｰﾄ東,37.90506642,140.1167973,6:49,8:11,9:24,10:39,12:14,13:39,15:04,16:24,17:34,19:04
市立病院前,37.90377808,140.1190931,6:50,8:12,9:25,10:40,12:15,13:40,15:05,16:25,17:35,19:05
福田町一丁目,37.90110977,140.1205454,6:51,8:14,9:26,10:41,12:16,13:41,15:06,16:26,17:37,19:06
福田町二丁目,37.90193699,140.1178891,6:52,8:15,9:27,10:42,12:17,13:42,15:07,16:27,17:38,19:07
福田町西,37.90274281,140.1146073,6:53,8:16,9:28,10:43,12:18,13:43,15:08,16:28,17:39,19:08
大町一丁目,37.90426022,140.1116261,6:54,8:17,9:29,10:44,12:19,13:44,15:09,16:29,17:40,19:09
税務署前,37.90707217,140.1115388,6:55,8:18,9:30,10:45,12:20,13:45,15:10,16:30,17:41,19:10
上杉神社前,37.9083144,140.108594,6:56,8:19,9:31,10:46,12:21,13:46,15:11,16:31,17:42,19:11
城南一丁目,37.90544996,140.1075299,6:57,8:20,9:32,10:47,12:22,13:47,15:12,16:32,17:43,19:12
城南二丁目,37.90306078,140.107183,6:58,8:21,9:33,10:48,12:23,13:48,15:13,16:33,17:44,19:13
山大正門,37.9014795,140.105609,7:01,8:24,9:36,10:51,12:26,13:51,15:16,16:36,17:47,19:16
二中前,37.90250541,140.0996347,7:02,8:25,9:37,10:52,12:27,13:52,15:17,16:37,17:48,19:17
愛宕小前,37.90450387,140.0957418,7:03,8:26,9:38,10:53,12:28,13:53,15:18,16:38,17:49,19:18
西部こども園前,37.90846978,140.0932682,7:04,8:27,9:39,10:54,12:29,13:54,15:19,16:39,17:50,19:19
御廟所西口,37.91276339,140.0905515,7:05,8:29,9:40,10:55,12:30,13:55,15:20,16:40,17:52,19:20
西部ｺﾐｭﾆﾃｨｾﾝﾀｰ前,37.91554509,140.090242,7:06,8:30,9:41,10:56,12:31,13:56,15:21,16:41,17:53,19:21
城西郵便局前,37.91611976,140.095444,7:07,8:31,9:42,10:57,12:32,13:57,15:22,16:42,17:54,19:22
すこやかセンター,37.91715444,140.0997805,7:09,8:33,9:44,10:59,12:34,13:59,15:24,16:44,17:56,19:24
法泉寺西,37.91573055,140.1013748,7:10,8:34,9:45,11:00,12:35,14:00,15:25,16:45,17:57,19:25
NTT前,37.9153602,140.1072143,7:11,8:35,9:46,11:01,12:36,14:01,15:26,16:46,17:58,19:26
中央二丁目,37.91523767,140.1093376,7:12,8:36,9:47,11:02,12:37,14:02,15:27,16:47,17:59,19:27
中央三丁目,37.91779246,140.1104647,7:14,8:38,9:49,11:04,12:39,14:04,15:29,16:49,18:01,19:29
中央四丁目,37.91900189,140.1082595,7:15,8:39,9:50,11:05,12:40,14:05,15:30,16:50,18:02,19:30
三友堂病院前,37.91948441,140.1050967,7:16,8:40,9:51,11:06,12:41,14:06,15:31,16:51,18:03,19:31
信夫町,37.92240559,140.1004624,7:17,8:42,9:52,11:07,12:42,14:07,15:32,16:52,18:05,19:32
総合公園口,37.9233595,140.1027519,7:18,8:44,9:54,11:09,12:44,14:09,15:34,16:54,18:07,19:33
イオン米沢前,37.92284639,140.1077909,7:19,8:45,9:55,11:10,12:45,14:10,15:35,16:55,18:08,19:34
年金事務所西,37.922028,140.112596,7:20,8:46,9:56,11:11,12:46,14:11,15:36,16:56,18:09,19:35
米沢市役所前,37.9214006,140.116296,7:22,8:49,9:59,11:14,12:49,14:14,15:39,16:59,18:12,19:37
文化センター南,37.92038017,140.1173775,7:23,8:50,10:00,11:15,12:50,14:15,15:40,17:00,18:13,19:38
北村公園西,37.9196858,140.116524,7:24,8:51,10:01,11:16,12:51,14:16,15:41,17:01,18:14,19:39
金池一丁目,37.9160055,140.113851,7:25,8:52,10:02,11:17,12:52,14:17,15:42,17:02,18:15,19:40
大町,37.9117384,140.113561,7:26,8:53,10:03,11:18,12:53,14:18,15:43,17:03,18:16,19:41
住之江橋,37.91137141,140.1158569,7:28,8:55,10:05,11:20,12:55,14:20,15:45,17:05,18:18,19:43
駅前四丁目,37.9108701,140.12033,7:29,8:56,10:06,11:21,12:56,14:21,15:46,17:06,18:19,19:44
米沢営業所,37.91031495,140.1235892,7:30,8:57,10:07,11:22,12:57,14:22,15:47,17:07,18:20,19:45
米沢駅前(終),37.90960728,140.1278008,7:31,8:58,10:08,11:23,12:58,14:23,15:48,17:08,18:21,19:46
